,property_type,society,sector,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
1063,house,international city by sobha phase 1,sector 109,6.75,10838.0,6228.0,Plot area 692(578.6 sq.m.),4,4,3+,2.0,North-East,New Property,,6228.0,,0,1,0,1,0,0,130
3290,flat,la lagune,sector 54,6.75,21360.0,3160.0,Super Built up area 3160(293.57 sq.m.)Built Up area: 2455 sq.ft. (228.08 sq.m.)Carpet area: 2240 sq.ft. (208.1 sq.m.),4,6,3+,11.0,East,Moderately Old,3160.0,2455.0,2240.0,0,1,0,0,0,1,119
1326,flat,tata primanti,sector 72,6.75,19285.0,3500.0,Super Built up area 4250(394.84 sq.m.)Built Up area: 4000 sq.ft. (371.61 sq.m.)Carpet area: 3500 sq.ft. (325.16 sq.m.),4,4,3+,0.0,North-East,New Property,4250.0,4000.0,3500.0,0,1,0,0,0,1,174
1379,flat,elevate,sector 50,6.75,19882.0,3395.0,Built Up area: 3395 (315.41 sq.m.),4,4,0,10.0,,Undefined,,3395.0,,0,0,0,0,0,0,0
975,house,uppal southend,sector 49,6.75,290948.0,232.0,Plot area 232(21.55 sq.m.),12,12,3+,,West,Moderately Old,,232.0,,1,1,0,1,1,1,49
2976,house,ss aaron ville,sector 49,6.75,15000.0,4500.0,Built Up area: 4500 (418.06 sq.m.),5,4,2,2.0,North,New Property,,4500.0,,0,0,0,0,1,0,49
1854,house,ss aaron ville,sector 49,6.75,19737.0,3420.0,Plot area 380(317.73 sq.m.),5,4,2,2.0,North,Old Property,,3420.0,,1,1,1,0,0,0,78
1741,flat,conscient elevate,sector 59,6.75,19882.0,3395.0,Super Built up area 3395(315.41 sq.m.)Carpet area: 1855 sq.ft. (172.34 sq.m.),4,4,2,10.0,,New Property,3395.0,,1855.0,0,1,0,0,0,0,31
1766,flat,dlf park place,sector 54,6.75,24963.0,2704.0,Super Built up area 2704(251.21 sq.m.)Carpet area: 1534 sq.ft. (142.51 sq.m.),4,4,2,8.0,North,Moderately Old,2704.0,,1534.0,0,1,0,0,0,2,135
645,house,independent,sector 25,6.6,36667.0,1800.0,Plot area 200(167.23 sq.m.),6,7,3+,2.0,East,Moderately Old,,1800.0,,1,1,0,0,0,1,119
3180,house,vatika india next,sector 82,6.5,20062.0,3240.0,Built Up area: 360 (301.01 sq.m.)Carpet area: 300 sq.yards (250.84 sq.m.),4,3,0,2.0,,Undefined,,360.0,300.0,0,0,0,0,0,0,0
392,house,sector 14 rwa,sector 14,6.5,26000.0,2500.0,Plot area 2500(232.26 sq.m.),5,5,0,4.0,,Moderately Old,,2500.0,,0,0,0,0,0,0,0
3045,house,dlf city plots phase 2,sector 25,6.5,33592.0,1935.0,Plot area 215(179.77 sq.m.),9,9,3+,3.0,West,Old Property,,1935.0,,1,1,1,1,0,1,142
800,house,independent,sector 7,6.5,15046.0,4320.0,Plot area 480(401.34 sq.m.),3,2,3+,,,Old Property,,4320.0,,0,0,0,0,0,0,9
2864,house,dlf city plots phase 2,sector 25,6.5,36111.0,1800.0,Plot area 200(167.23 sq.m.),5,5,3+,3.0,East,Old Property,,1800.0,,1,1,1,1,0,1,134
3174,flat,dlf city plots phase 3,sector 24,6.5,18571.0,3500.0,Carpet area: 3500 (325.16 sq.m.),4,5,3+,3.0,North-East,New Property,,,3500.0,0,1,0,0,0,2,42
1645,house,independent,sector 25,6.5,36111.0,1800.0,Plot area 200(167.23 sq.m.),4,3,3,3.0,,Moderately Old,,1800.0,,1,0,0,1,0,0,19
710,flat,dlf royalton tower,sector 43,6.5,22108.0,2940.0,Super Built up area 2940(273.13 sq.m.),4,5,2,8.0,West,Relatively New,2940.0,,,0,1,0,0,0,0,15
3248,flat,experion windchants,sector 112,6.5,10416.0,6240.0,Built Up area: 4800 (445.93 sq.m.),4,5,3,11.0,South,Relatively New,,4800.0,,0,0,0,0,0,0,55
1634,house,ss aaron ville,sector 49,6.5,18808.0,3456.0,Plot area 384(321.07 sq.m.),5,5,2,2.0,North-East,Relatively New,,3456.0,,1,1,0,1,0,1,28
400,house,independent,sector 25,6.5,36111.0,1800.0,Plot area 200(167.23 sq.m.),4,4,3+,2.0,North-East,Moderately Old,,1800.0,,1,1,1,1,0,0,61
439,house,independent,sector 24,6.5,22855.0,2844.0,Plot area 316(264.22 sq.m.),4,4,2,2.0,,Old Property,,2844.0,,0,0,0,1,0,0,35
3465,house,independent,sector 50,6.5,21667.0,3000.0,Built Up area: 3000 (278.71 sq.m.),5,6,0,1.0,,Undefined,,3000.0,,0,0,0,0,0,0,0
316,flat,parsvnath exotica,sector 53,6.5,19174.0,3390.0,Super Built up area 3390(314.94 sq.m.)Built Up area: 3000 sq.ft. (278.71 sq.m.)Carpet area: 2500 sq.ft. (232.26 sq.m.),4,5,3+,10.0,South,Relatively New,3390.0,3000.0,2500.0,1,1,0,1,0,1,174
3788,flat,vipul belmonte,sector 53,6.5,21922.0,2965.0,Super Built up area 2965(275.46 sq.m.),3,4,3+,0.0,,Old Property,2965.0,,,1,0,0,0,1,0,72
3758,flat,dlf royalton tower,sector 43,6.5,20687.0,3142.0,Super Built up area 2997(278.43 sq.m.),4,4,3+,9.0,,Moderately Old,2997.0,,,0,1,0,0,0,0,7
2020,flat,tata primanti,sector 72,6.5,15294.0,4250.0,Super Built up area 4250(394.84 sq.m.),4,4,3+,0.0,East,Relatively New,4250.0,,,1,1,0,1,0,0,67
142,house,international city by sobha phase 2,sector 109,6.5,12037.0,5400.0,Plot area 5400(501.68 sq.m.),4,4,3+,1.0,North-East,New Property,,5400.0,,0,1,0,0,0,1,160
1978,flat,pioneer urban presidia,sector 62,6.5,14987.0,4337.0,Super Built up area 4337(402.92 sq.m.),4,4,3+,3.0,West,Moderately Old,4337.0,,,1,0,0,0,0,0,86
3014,house,bptp astaire gardens,sector 70a,6.5,27871.0,2332.0,Plot area 299(250 sq.m.),4,4,3+,2.0,North-East,New Property,,299.0,,1,1,0,1,0,1,160
324,house,sector 14 rwa,sector 14,6.5,20635.0,3150.0,Plot area 350(292.64 sq.m.),4,4,3+,2.0,,Moderately Old,,3150.0,,0,0,0,0,0,0,0
1947,house,independent,sector 43,6.5,35400.0,1836.0,Plot area 215(179.77 sq.m.)Built Up area: 215 sq.yards (179.77 sq.m.),5,4,3+,3.0,South-East,Moderately Old,,215.0,,0,1,0,1,0,1,54
354,house,independent,sector 46,6.5,27461.0,2367.0,Plot area 263(219.9 sq.m.),12,12,3+,4.0,North-West,Relatively New,,2367.0,,1,0,0,1,0,1,32
834,house,independent,sector 14,6.46,18889.0,3420.0,Plot area 380(317.73 sq.m.)Built Up area: 380 sq.yards (317.73 sq.m.)Carpet area: 300 sq.yards (250.84 sq.m.),5,5,2,3.0,East,Moderately Old,,380.0,300.0,1,1,0,1,0,1,27
483,flat,parsvnath exotica,sector 53,6.44,19000.0,3389.0,Super Built up area 3390(314.94 sq.m.),4,4,3,7.0,West,Moderately Old,3390.0,,,0,1,0,0,0,1,80
3791,house,international city by sobha phase 2,sector 109,6.44,26502.0,2430.0,Plot area 270(225.75 sq.m.),4,5,3+,3.0,North-East,New Property,,2430.0,,1,1,1,1,0,0,138
686,house,eldeco mansionz,sector 48,6.4,23704.0,2700.0,Plot area 365(305.19 sq.m.)Built Up area: 366 sq.yards (306.02 sq.m.),4,4,3,3.0,West,Moderately Old,,366.0,,0,1,1,0,0,1,151
1599,house,vipul tatvam villa,sector 48,6.4,24691.0,2592.0,Plot area 288(240.8 sq.m.)Built Up area: 240 sq.yards (200.67 sq.m.)Carpet area: 200 sq.yards (167.23 sq.m.),3,4,3,2.0,North,Relatively New,,240.0,200.0,1,1,1,0,0,1,148
364,house,independent,sector 14,6.4,20317.0,3150.0,Plot area 350(292.64 sq.m.)Built Up area: 349 sq.yards (291.81 sq.m.)Carpet area: 348 sq.yards (290.97 sq.m.),6,6,3+,3.0,North,Old Property,,349.0,348.0,0,0,0,0,1,0,35
463,flat,elan the presidential,sector 106,6.3,15384.0,4095.0,Super Built up area 4095(380.44 sq.m.)Carpet area: 3500 sq.ft. (325.16 sq.m.),5,6,3+,10.0,North-East,Under Construction,4095.0,,3500.0,0,0,0,0,0,1,62
1417,house,international city by sobha phase 1,sector 109,6.3,9000.0,7000.0,Built Up area: 7000 (650.32 sq.m.)Carpet area: 4500 sq.ft. (418.06 sq.m.),4,5,3+,2.0,West,Relatively New,,7000.0,4500.0,0,0,0,0,0,1,122
919,house,dlf city plots phase 2,sector 25,6.3,35000.0,1800.0,Plot area 200(167.23 sq.m.),4,4,3+,2.0,East,Old Property,,1800.0,,0,1,1,0,0,0,89
1905,house,international city by sobha phase 2,sector 109,6.25,11574.0,5400.0,Plot area 600(501.68 sq.m.),4,4,3+,2.0,East,Relatively New,,5400.0,,0,1,0,0,0,0,138
1908,flat,central park resort belgravia residences,sector 48,6.25,24300.0,2572.0,Carpet area: 2880 (267.56 sq.m.),3,5,3+,5.0,South-East,Moderately Old,,,2880.0,0,1,0,0,0,1,49
3647,house,independent,sohna road road,6.25,6944.0,9001.0,Plot area 1000(836.13 sq.m.),3,3,0,1.0,,Moderately Old,,9000.0,,0,0,0,0,0,0,0
2639,house,sushant lok 1 builder floors,sector 43,6.25,30728.0,2034.0,Plot area 226(188.96 sq.m.),7,7,3+,3.0,North,Moderately Old,,2034.0,,1,1,1,0,0,0,46
2618,house,international city by sobha phase 2,sector 109,6.25,10035.0,6228.0,Plot area 692(578.6 sq.m.),5,7,3+,3.0,North-East,Relatively New,,6228.0,,1,1,1,1,0,0,147
990,house,nul,sector 25,6.25,34722.0,1800.0,Plot area 200(167.23 sq.m.),5,5,3,2.0,East,Moderately Old,,1800.0,,0,1,0,1,0,1,112
1358,house,independent,sector 57,6.25,2778.0,22498.0,Plot area 3100(2591.99 sq.m.)Built Up area: 2660 sq.yards (2224.1 sq.m.)Carpet area: 2500 sq.yards (2090.32 sq.m.),9,9,3+,3.0,North-East,New Property,,2660.0,2500.0,0,1,0,0,0,1,61
1373,house,independent,sector 57,6.21,23000.0,2700.0,Plot area 300(250.84 sq.m.),6,6,3+,4.0,North-East,Old Property,,2700.0,,1,1,1,1,0,0,52
2396,flat,dlf royalton tower,sector 43,6.2,20687.0,2997.0,Super Built up area 2997(278.43 sq.m.),4,4,3+,9.0,,Moderately Old,2997.0,,,0,1,0,0,0,0,7
523,house,international city by sobha phase 2,sector 109,6.2,25514.0,2430.0,Plot area 270(225.75 sq.m.),5,5,2,2.0,South-West,Relatively New,,2430.0,,0,1,0,0,0,0,135
3448,flat,suncity platinum towers,sector 28,6.2,23091.0,2685.0,Super Built up area 2685(249.44 sq.m.)Built Up area: 2000 sq.ft. (185.81 sq.m.)Carpet area: 1900 sq.ft. (176.52 sq.m.),3,4,3+,21.0,South,Relatively New,2685.0,2000.0,1900.0,0,1,0,0,0,1,160
2507,flat,ambience creacions,sector 22,6.16,20533.0,3000.0,Carpet area: 3000 (278.71 sq.m.),4,5,3+,10.0,South-East,New Property,,,3000.0,0,1,0,1,0,1,49
1203,flat,m3m golfestate,sector 65,6.15,18287.0,3363.0,Super Built up area 3363(312.43 sq.m.)Carpet area: 2710 sq.ft. (251.77 sq.m.),3,3,3,23.0,,Moderately Old,3363.0,,2710.0,1,1,0,0,0,1,60
3274,house,international city by sobha phase 1,sector 109,6.15,27333.0,2250.0,Plot area 270(225.75 sq.m.)Built Up area: 270 sq.yards (225.75 sq.m.)Carpet area: 250 sq.yards (209.03 sq.m.),5,5,3+,3.0,West,Relatively New,,270.0,250.0,0,1,1,1,0,1,130
1239,flat,m3m golfestate,sector 65,6.15,15998.0,3844.0,Carpet area: 3844 (357.12 sq.m.),3,5,3+,1.0,West,Relatively New,,,3844.0,0,1,0,0,0,2,49
1485,flat,m3m golfestate,sector 65,6.15,18331.0,3355.0,Built Up area: 3355 (311.69 sq.m.)Carpet area: 2200 sq.ft. (204.39 sq.m.),3,4,2,20.0,North-East,Undefined,,3355.0,2200.0,0,0,0,0,0,0,34
1565,flat,m3m golfestate,sector 65,6.1,18138.0,3363.0,Super Built up area 3363(312.43 sq.m.)Carpet area: 2710 sq.ft. (251.77 sq.m.),3,3,3,19.0,North-East,Moderately Old,3363.0,,2710.0,1,1,0,0,0,1,174
40,house,international city by sobha phase 1,sector 109,6.1,25103.0,2430.0,Plot area 270(225.75 sq.m.),5,6,3+,2.0,,Moderately Old,,2430.0,,0,1,0,0,0,0,30
1756,house,independent,sector 47,6.09,33665.0,1809.0,Plot area 201(168.06 sq.m.)Built Up area: 180 sq.yards (150.5 sq.m.)Carpet area: 150 sq.yards (125.42 sq.m.),12,11,3+,4.0,West,Moderately Old,,180.0,150.0,0,0,0,1,0,2,44
3563,flat,tulip monsella,sector 53,6.02,20816.0,2892.0,Built Up area: 2892 (268.68 sq.m.),3,3,3,29.0,,Under Construction,,2892.0,,0,0,0,0,0,0,68
3199,flat,vipul belmonte,sector 53,6.0,24489.0,2450.0,Super Built up area 2450(227.61 sq.m.),3,4,3+,6.0,North-West,Moderately Old,2450.0,,,0,1,0,0,1,1,26
2461,house,independent,sector 12,6.0,315789.0,190.0,Plot area 190(17.65 sq.m.)Carpet area: 1600 sq.ft. (148.64 sq.m.),9,6,2,2.0,North-East,Old Property,,,1600.0,0,0,0,0,0,0,0
1137,flat,ss hibiscus,sector 50,6.0,12272.0,4889.0,Super Built up area 4400(408.77 sq.m.),4,3,3,5.0,South-East,Moderately Old,4400.0,,,0,1,0,0,0,0,31
1624,house,ansals florence villa,sector 57,6.0,22222.0,2700.0,Plot area 300(250.84 sq.m.),4,5,2,2.0,,Old Property,,2700.0,,0,1,0,1,0,1,20
2200,house,bptp visionnaire,sector 70a,6.0,22222.0,2700.0,Plot area 300(250.84 sq.m.),5,4,3,3.0,North-East,New Property,,2700.0,,1,0,0,0,0,0,40
3166,flat,dlf the grove,sector 43,6.0,25000.0,2400.0,Carpet area: 2400 (222.97 sq.m.),4,4,2,1.0,South-West,Under Construction,,,2400.0,0,1,0,0,0,1,49
397,house,international city by sobha phase 1,sector 109,6.0,24691.0,2430.0,Plot area 270(225.75 sq.m.),4,4,3+,2.0,North-East,Relatively New,,2430.0,,1,1,1,1,0,0,160
323,house,anamika enclave,sector 12,6.0,14492.0,4140.0,Plot area 4140(384.62 sq.m.)Built Up area: 9000 sq.ft. (836.13 sq.m.),9,9,3+,3.0,North-West,Old Property,,9000.0,,0,0,0,0,0,0,9
3665,house,suncity essel towers,sector 28,6.0,22222.0,2700.0,Plot area 300(250.84 sq.m.),4,4,3+,3.0,East,Old Property,,2700.0,,1,0,0,0,0,1,89
3411,house,international city by sobha phase 1,sector 109,6.0,24691.0,2430.0,Plot area 270(225.75 sq.m.),4,5,3+,2.0,North,Relatively New,,2430.0,,0,1,0,0,0,1,96
3715,flat,suncity platinum towers,sector 28,6.0,22346.0,2685.0,Carpet area: 2685 (249.44 sq.m.),3,3,2,8.0,South-East,Moderately Old,,,2685.0,0,1,0,0,0,0,31
716,house,independent,sector 2,6.0,20000.0,3000.0,Built Up area: 333 (278.43 sq.m.),4,4,1,2.0,,Relatively New,,333.0,,0,0,0,0,0,0,0
3799,house,international city by sobha phase 1,sector 109,6.0,9634.0,6228.0,Plot area 692(578.6 sq.m.),5,5,3+,2.0,South-West,Relatively New,,6228.0,,1,1,1,1,0,0,160
2181,house,independent,sector 26,6.0,33333.0,1800.0,Plot area 200(167.23 sq.m.),8,5,3+,3.0,,Old Property,,1800.0,,0,0,0,0,0,1,9
2583,house,eldeco mansionz,sector 48,6.0,22222.0,2700.0,Plot area 300(250.84 sq.m.),4,4,3+,2.0,East,Moderately Old,,2700.0,,0,1,0,0,0,0,69
3104,flat,dlf the icon,sector 43,6.0,26086.0,2300.0,Carpet area: 2300 (213.68 sq.m.),4,4,3+,18.0,North-East,Old Property,,,2300.0,0,1,0,0,0,1,150
3098,flat,tata gurgaon gateway,sector 113,6.0,9139.0,6565.0,Carpet area: 6565 (609.91 sq.m.),5,6,3+,24.0,North,Moderately Old,,,6565.0,0,0,0,0,0,0,117
937,house,international city by sobha phase 1,sector 109,6.0,9634.0,6228.0,Plot area 692(578.6 sq.m.),4,5,3,2.0,North-East,Moderately Old,,6228.0,,0,0,0,0,0,0,76
3091,house,independent,sector 2,6.0,24691.0,2430.0,Plot area 270(225.75 sq.m.),5,6,3+,3.0,East,Old Property,,2430.0,,1,0,0,1,1,1,43
3410,flat,paras quartier,gwal pahari,5.9,11028.0,5350.0,Super Built up area 5350(497.03 sq.m.),4,4,3+,19.0,East,New Property,5350.0,,,1,1,1,1,0,1,160
787,flat,paras quartier,gwal pahari,5.9,11028.0,5350.0,Built Up area: 5350 (497.03 sq.m.),4,4,3+,0.0,,Moderately Old,,5350.0,,0,0,0,0,0,0,63
3588,house,international city by sobha phase 1,sector 109,5.9,24280.0,2430.0,Plot area 270(225.75 sq.m.),4,5,2,2.0,East,Relatively New,,2430.0,,0,1,0,0,0,1,111
1616,flat,m3m golfestate,sector 65,5.9,17484.0,3375.0,Super Built up area 3363(312.43 sq.m.),3,3,3,18.0,North,Relatively New,3363.0,,,1,1,0,0,0,0,76
219,flat,m3m golfestate,sector 65,5.9,17543.0,3363.0,Super Built up area 3363(312.43 sq.m.),3,3,3,9.0,,Moderately Old,3363.0,,,1,0,0,0,0,2,21
2333,house,unitech south city,sector 50,5.88,27222.0,2160.0,Plot area 240(200.67 sq.m.),9,9,3+,3.0,East,Relatively New,,2160.0,,1,1,0,1,1,2,128
1181,house,international city by sobha phase 1,sector 109,5.85,26423.0,2214.0,Plot area 246(205.69 sq.m.),4,5,3+,2.0,East,Relatively New,,2214.0,,0,1,0,0,0,1,85
2248,flat,ambience lagoon,sector 24,5.8,12500.0,4640.0,Built Up area: 3700 (343.74 sq.m.),3,4,3+,9.0,North-East,Old Property,,3700.0,,1,1,0,1,1,2,68
317,house,independent,sector 26,5.8,12837.0,4518.0,Plot area 502(419.74 sq.m.),4,4,3+,4.0,,Old Property,,4518.0,,0,0,0,0,0,0,38
1608,house,independent,sector 26,5.8,32222.0,1800.0,Plot area 200(167.23 sq.m.),5,5,3+,2.0,North,Old Property,,1800.0,,1,1,1,1,0,0,53
3477,house,independent,sector 26,5.8,32222.0,1800.0,Plot area 200(167.23 sq.m.),4,3,2,2.0,East,Relatively New,,1800.0,,0,0,1,0,0,0,21
1956,flat,dlf icon,sector 43,5.8,20707.0,2801.0,Built Up area: 2801 (260.22 sq.m.),4,4,3+,18.0,,Undefined,,2801.0,,0,0,0,0,0,0,0
2008,flat,mahindra luminare,sector 59,5.8,19173.0,3025.0,Carpet area: 3025 (281.03 sq.m.),3,4,3,16.0,North-East,New Property,,,3025.0,0,1,0,0,0,1,49
1103,house,ansal sushant lok plots,sector 43,5.8,29974.0,1935.0,Plot area 215(179.77 sq.m.),6,6,3,2.0,South-West,Relatively New,,1935.0,,0,1,0,0,1,1,49
62,house,independent,sector 43,5.75,23662.0,2430.0,Plot area 270(225.75 sq.m.)Built Up area: 260 sq.yards (217.39 sq.m.)Carpet area: 220 sq.yards (183.95 sq.m.),4,4,2,4.0,North,Under Construction,,260.0,220.0,0,1,1,0,0,2,153
2336,flat,dlf park place,sector 54,5.75,24688.0,2329.0,Super Built up area 2329(216.37 sq.m.)Built Up area: 1900 sq.ft. (176.52 sq.m.)Carpet area: 1700 sq.ft. (157.94 sq.m.),3,4,3,12.0,North-East,Relatively New,2329.0,1900.0,1700.0,0,1,0,0,0,2,174
3264,house,vipul tatvam villa,sector 48,5.75,22184.0,2592.0,Plot area 288(240.8 sq.m.)Built Up area: 280 sq.yards (234.12 sq.m.)Carpet area: 250 sq.yards (209.03 sq.m.),4,4,2,2.0,West,Moderately Old,,280.0,250.0,0,1,0,0,0,0,30
660,house,international city by sobha phase 1,sector 109,5.75,16428.0,3500.0,Plot area 272(25.27 sq.m.)Built Up area: 4800 sq.ft. (445.93 sq.m.)Carpet area: 3500 sq.ft. (325.16 sq.m.),4,4,2,3.0,South-East,Relatively New,,4800.0,3500.0,0,1,0,0,0,0,146
1677,house,independent,sector 43,5.75,29716.0,1935.0,Plot area 215(179.77 sq.m.),4,4,2,2.0,North,Old Property,,1935.0,,0,1,1,1,0,0,34
2387,house,independent,sector 2,5.7,22634.0,2518.0,Plot area 270(225.75 sq.m.),9,9,3+,3.0,North-East,Moderately Old,,2430.0,,0,0,0,1,0,1,0
1375,house,ansals palam vihar,sector 2,5.7,14729.0,3870.0,Plot area 430(359.53 sq.m.)Built Up area: 4550 sq.yards (3804.38 sq.m.)Carpet area: 4450 sq.yards (3720.77 sq.m.),5,5,2,2.0,North-East,Old Property,,4550.0,4450.0,0,0,0,1,0,2,94
3085,house,international city by sobha phase 1,sector 109,5.7,10556.0,5400.0,Plot area 600(501.68 sq.m.),4,5,3+,3.0,East,Relatively New,,5400.0,,1,1,1,1,0,0,160
1027,house,dlf the grove,sector 54,5.7,211111.0,270.0,Built Up area: 270 (25.08 sq.m.),4,4,0,1.0,,Undefined,,270.0,,0,0,0,0,0,0,46
